ID,Name,Age,Marks
1,Student1,18,93
2,Student2,23,95
3,Student3,23,72
4,Student4,25,71
5,Student5,21,100
6,Student6,23,87
7,Student7,23,78
8,Student8,23,73
9,Student9,23,89
10,Student10,18,99
11,Student11,22,63
12,Student12,19,98
13,Student13,21,55
14,Student14,20,96
15,Student15,24,72
16,Student16,20,95
17,Student17,24,82
18,Student18,18,74
19,Student19,22,38
20,Student20,19,41
21,Student21,22,62
22,Student22,18,38
23,Student23,22,98
24,Student24,22,87
25,Student25,20,42
26,Student26,24,77
27,Student27,18,66
28,Student28,19,98
29,Student29,18,82
30,Student30,20,84
31,Student31,23,44
32,Student32,24,42
33,Student33,22,36
34,Student34,23,81
35,Student35,19,58
36,Student36,22,88
37,Student37,19,42
38,Student38,22,36
39,Student39,18,95
40,Student40,20,97
41,Student41,20,94
42,Student42,25,39
43,Student43,21,98
44,Student44,18,67
45,Student45,21,39
46,Student46,22,76
47,Student47,22,52
48,Student48,19,66
49,Student49,23,65
50,Student50,24,59
51,Student51,24,46
52,Student52,19,67
53,Student53,20,59
54,Student54,22,96
55,Student55,18,58
56,Student56,24,99
57,Student57,24,74
58,Student58,22,51
59,Student59,24,57
60,Student60,23,100
61,Student61,19,56
62,Student62,21,37
63,Student63,18,40
64,Student64,25,41
65,Student65,23,56
66,Student66,22,80
67,Student67,24,54
68,Student68,18,83
69,Student69,20,50
70,Student70,22,36
71,Student71,20,43
72,Student72,25,35
73,Student73,19,36
74,Student74,21,83
75,Student75,18,87
76,Student76,24,55
77,Student77,18,44
78,Student78,22,64
79,Student79,23,52
80,Student80,18,68
81,Student81,19,64
82,Student82,25,52
83,Student83,20,52
84,Student84,23,64
85,Student85,19,63
86,Student86,25,99
87,Student87,19,83
88,Student88,20,97
89,Student89,21,87
90,Student90,20,46
91,Student91,23,64
92,Student92,18,55
93,Student93,24,97
94,Student94,21,47
95,Student95,25,97
96,Student96,25,96
97,Student97,23,95
98,Student98,23,66
99,Student99,23,47
100,Student100,24,82
101,Student101,19,86
102,Student102,21,94
103,Student103,20,38
104,Student104,19,78
105,Student105,20,77
106,Student106,23,95
107,Student107,20,92
108,Student108,24,46
109,Student109,23,53
110,Student110,24,77
111,Student111,24,77
112,Student112,20,86
113,Student113,21,69
114,Student114,18,78
115,Student115,24,65
116,Student116,21,90
117,Student117,23,41
118,Student118,20,36
119,Student119,24,87
120,Student120,23,65
121,Student121,24,73
122,Student122,20,86
123,Student123,20,84
124,Student124,23,88
125,Student125,25,75
126,Student126,19,86
127,Student127,22,60
128,Student128,24,73
129,Student129,23,89
130,Student130,18,46
131,Student131,25,37
132,Student132,21,69
133,Student133,21,84
134,Student134,18,63
135,Student135,21,35
136,Student136,22,39
137,Student137,19,86
138,Student138,22,64
139,Student139,23,74
140,Student140,23,44
141,Student141,19,99
142,Student142,20,54
143,Student143,18,61
144,Student144,21,65
145,Student145,21,56
146,Student146,19,62
147,Student147,23,47
148,Student148,20,88
149,Student149,20,49
150,Student150,20,40
151,Student151,22,79
152,Student152,22,48
153,Student153,23,76
154,Student154,23,80
155,Student155,20,88
